Title,Author,Date,Number of Responses,Content
Now useless,Casbow,2022-06-06T11:30:24+0100,0,"I was diagnosed with Frontotemporal  Dementia  2 years ago. I had been visiting my husband who had Vascular dementia 3 times a week and my driving was worrying me. I started to walk there and back as much as I could (It was a long walk.) Then after he was in the Care home for 2 years he died suddenly with a seizure  and infection. It was 10 o'clock in the evening and I was told on the telephone. The shock was awful and I was so upset that I had not been able to hold his hand and comfort him at the time.   So 6 months later I asked to see someone because I was sure I had some form of dementia.            I was diagnosed as I said with Frontotemporal which is not quite so well known as the others. My reason for writing is that I have had two bad fall outs with my eldest son. . And he will not have anything to do with me. He said I say horrible things about people and family and when  I said I could not remember saying  bad things and maybe it was the dementia.  He said  ""No you have always been like that."" My younger son and his wife have been very supportive until  I have now upset them. They say I always put people down and expect to much from them. I tried to defend myself by saying that I think its the dementia as I don't think I used to be like this. I am very lonely and having given up driving , do not go out very far, Since the pandemic some of my friends of many years are not able to get out through health problems. so I cannot see them although we speak on the phone. I am now becoming  embarrassed to be in company as I am sure people don't really want to see me. I  will not go on anymore. Just wondered if my saying things wrong is a symptom of this form or dementia."
How do I,Dunroamin,2022-08-25T09:38:13+0100,0,"convince others that the sounds of cutlery, crashing plates and pots and  pans and other sudden loud noises are now such a problem for me.  I know other PWD suffer this problem, but how do they address it?"
Living Hell,ella-belly,2022-08-31T16:02:28+0100,0,"That is just how I feel there is no point to anything I am just so lonely isolated.  The only thing left is death when will that come how much misery have I got to go through. What can I do who is for me who do I talk too or am I just not worth it. Who makes these choruses for me. Why am I so insignificant and worthless. I was told as a child I was totally useless,  clumsy, brainless, and no one would want to be associated with me I was a thing not a person. How true she was I owe the world the world owes me nothing. I am nothing. useless blob."
FEELING LOST,Norrms,2022-08-05T10:28:38+0100,0,"LOST

Have you ever felt as if you are lost? I mean really lost? I don’t mean you have forgotten where you are going or what you were doing, or taken the wrong turn, but lost within yourself? I will try to explain…..


The last couple of days I have felt as if I am walking in an endless wilderness of despair and frustration. Some may say that`s depression and I am a firm believer that dementia and depression comes hand in hand anyway because when you are told you have a terminal disease? How can it not ? But this is so different. Lately my wife has said “Norrms” you look lost, are you ok?? When I ask what she means she says I have that look of bewilderment in my eyes as not sure what’s going on around me, or where I am or what I am doing and as much as I hate to admit it she is right . I can sit there and just stare into space, I can look around when out, and wonder where I am and what I am doing there. One of the most frightening things is, when I have flashbacks from the night before after having hallucinated most of the night, I can be sat the having a coffee in the middle of a cafe when suddenly I jump and scream as if the devil himself has shown up. I can only imagine what people think because I know i probably would if I didn’t know anything about dementia, and who can blame them??





The emptiness and loneliness that wells up inside is so debilitating and I wouldn’t wish it on anybody, your mind try’s to remember things gone past. I sit there and think “What did we do yesterday, or the day before? In my mind I am trying to keep my memories alive by recalling them as often as I can, training in brain not to forget, but sadly this is not always the case as I clench my hands in frustration because someday I cannot ever remember what I had for breakfast, let alone the day before!! When you have the most loving family ever around you and many friends both here and across the world it’s hard to believe that anybody can feel so lost but this illness of dementia affects so many in so many different ways, one size certainly does not fit all . It’s also hard to believe that when you see us all bouncing around, singing and laughing at our memory café that the same person can sit there, ever so lost, with the look of a little boy who has been separated from his parents in a supermarket on his face and tears running down his eyes.

This disease is ever so cruel in many different ways, it’s just not about losing your inhibitions or forgetting this and that it’s about feeling like you are becoming somebody else, somebody you don’t know or even like, a complete stranger, and I have to say it isn’t very nice as you can imagine. So please can I ask something of you all? the next time you see someone sitting there, looking completely lost, it may or may not be dementia, but I can assure you if you just have a word, ask how they are and if they are ok, it will probably at that moment in time, mean the world to them. Just to hear a friendly voice and knowing that someone has taken time out of their busy day to ask how you are can mean so very much"
I want to go home ??,Norrms,2022-07-25T09:22:17+0100,0,"I WANT TO GO HOME ??
How many times have you heard someone with dementia say, “I want to go home” It has to be one of the most common things that’s repeated many times by those with dementia when most of the time they are quite clearly still at home and have lived there for a very long time. And yet they still say it with that quizzical look in their eyes and a feeling of confusion. Those who are placed in care homes also say it, even when they have lived there for quite a while so the saying applies in many situations, but what does it mean?
As a person living with dementia and somebody who says the same thing (I am told by my wife) when I am “Sundowning” (an explanation about this will come later.) it’s something that’s puzzled me for a while and for what it’s worth, in my humble opinion, this is what I think it means. So, when I say I want to go home? Does this mean my birth town of Bolton in Lancashire? Well, as much I am so very proud of my Northern roots, and rightly so, I fell in love with Torquay the moment I arrived here over 25 years ago and may I say wild horses would not get me back up north, I really do believe Torquay is the best place in the world to live, so no, it’s not that.
Do I mean my spiritual home? Well, I am a roman catholic but a much lapsed one and sorry to say lost my faith years ago because of world and personal events. So, what do I mean when I look at my long suffering wife and say I want to go home?
 After much discussion with my wife who was a carer for over 30 years before she had to stop to look after me, we have come to this conclusion. “Home” is a place of safety, home is a place of reassurance and home is a peaceful place with no worries, no confusion and no troubles. When I ask to GO HOME Elaine always tells me all will be ok, holds my hand, reassures me that I am safe and makes me feel that all will be ok. I have always believed that no matter how poorly you are with dementia, no matter at what stages of it you are in with dementia, somewhere, deep down you know you are really ill, you know something is very very wrong and you know there is no cure. The worry of all that can become all too much at time, but can’t it for us all?
Doesn’t each one of us at some point feel like this, don’t we all need reassuring at times and be told that all will be ok, not to worry, or at least try not to. You see? People with dementia really are no different to anybody else, we really are all the same, and because some put us into that “Box” this is what feeds the stigma around it. Now I am not saying this is the correct explanation, and it is as I said, just my humble opinion, but it’s got to be worth a shot don’t you think? Because even if I am wrong, what harm can it do to reassure those with dementia? hold their hand and tell them try not to worry and they are loved so much by family and friends, I am sure it won’t do any harm and can only help them all.
Hope this helps xx"
Recently diagnosed,Robynrose,2022-08-27T04:11:17+0100,0,Eighteen months ago I moved back to Auckland NZ and into a retirement village. Around 2 months in I suffered a couple of black outs and my new GP ordered a brain scan. It showed I have frontotemporal dementia. I have to say for some time prior I felt something wasn't quite right however as I was caring for my extremely sick husband I ignored this. I can only stay at the village while I'm Independent. I feel blessed having found this message board as I don't feel so alone.
A Nowhere man,Norrms,2022-06-22T07:12:40+0100,0,"A NOWHERE Man 
This disease of dementia is the worst of diseases, with so many twists and turns, so unpredictable, and just when you think you have seen it all or felt it all, along comes another wave of what
dementia dishes out. And by this I mean??
Just lately I have not felt that well, I have been quiet, withdrawn and sullen, and as everyone who knows me this is totally opposite to who I am. I have spoken before about feeling lost but this is
different, I have been feeling as if I am not really here, does that sound really weird?? No?? Well I can tell you is does to me. I can see and hear all that’s going on around me, but it all sounds like a distant echo and I can’t seem to catch what’s being said properly, so frustrating. My spatial awareness is also much worse and this means I am shuffling or look as if I have had a drink when I
haven’t.
Is this my blood pressure? Or is it because I am too tired? I have always advocated that some use their illness as an easy excuse and as a GO TOO every time something’s wrong but I have never done
that. Some mornings I feel as if someone has put net curtains in front of my eyes and it’s so hard to see clearly. Now this is quite worrying because it’s the way I felt in the early stages of my dementia, also my words don’t come out as they should and I sound like I am stuttering which is also something that happened in the early days. All these things just to serve my fears that things are
getting worse, but yet, some days I can speak, see, walk properly and be my normal self, so as you  see there is no rhyme of reason to this disease for any of us with dementia. There is a very old saying in the “Dementia World” that states “When you have met one person with dementia, you have met ONE PERSON with dementia” and that’s why it’s so important that people understand it’s not all the same, it doesn’t play to the rules. If you get a cold or the flu we all know the symptoms’, but within dementia the symptoms are so very diverse I would be here all day explaining them all to you.
The Beatles once sang “He`s a real nowhere man, sitting in his nowhere land, making all his nowhere plans for nobody” and as sad as that sounds, that`s what it feels like sometimes living with
this awful disease.
 The loneliness can be crippling and yet we have so many around us who love and care for us, that’s when the guilt monster comes to visit and you feel so guilty feeling like this and know you shouldn’t, and yet, try as you might to shake those feelings, you just can`t . These kind of feelings can last for days or just a few hours, nobody ever knows, but as I wake each day knowing I have this terminal disease, it’s never that far away from my thoughts, I still hope it’s just a blip and normal service will be resumed as soon as possible as they say. But we have to carry on don’t we??
Surely the easiest thing would be to give up and let nature take its course, wouldn’t it??
 But that’s not for me; I am a fighter and always will be, I will fight till the end, whenever that may come."
Sundowning from the heart,Norrms,2022-03-12T10:16:40+0000,0,"Sundowning, from the heart









						Norrms McNamara: Sundowning... from the heart
					

Many people have heard the word sundowning when it comes to dementia but not that many know exactly what it is.




					www.torbayweekly.co.uk"
help,ella-belly,2022-08-25T22:20:13+0100,0,I have been diagnosed on 15th July and started medication and left alone. Told to stop driving I am no longer allowed the privilege of driving.   I live in remote village no shop not even a pub. What happens now is that it. I was given with the diagnosis 3 phone numbers I rang them to see what happens the first 1 said I was allowed approximately 3 minuets to state a question and see if they could help for me. they gave me another telephone number as I was probably their responsibly. Rang that to be told I was under another center i was to ring their and ask for the duty person I did to be told   Quote no duty person here  I am just taking messages to pass to them next week. this being a Friday. and still I need somebody something to talk too. Their is probably is no answers for my questions but I would like reassurance i am part of living planet.  And that their is help out there What can I expect. At the moment I feel there is no hope or help just emptiness hopelessness.this it till death.
help,ella-belly,2022-08-25T14:53:21+0100,0,I am so confused isolated alone I do not know what to do is this it waiting for death.No more niceness just harsh reality. Why do I feel so alone and ill tired but not daring to sleep. What do I expect what need hope Have I got. The lonesomeness isolation  not being quiet right somethings missing. what do I do why did I get this idiotic condition why is it called illness I am not going to get better no recovery just death why Do I go through this what have I done why do I deserve this How long will it take what will happen so so lonely always alone it is to late
Hello,Ladyldham,2022-08-24T12:49:36+0100,0,"Hello all  
I have been diagosed with MCI back 2016 ,although on a recent visit to Doctor she said I was Diagnosed with Dementia 2015 ? my ACE 111score was 80/100 and mini ACE 22/30 so confused as to why I have been told a Dementia ? I cannot recall any other tests ,except for MRI showing Hippocampal formations low for age ,not grossly atrophic. Confused !"
After all this time...........,Dunroamin,2022-08-12T06:55:29+0100,0,"We have succumbed to covid.  Not the ideal time to have a temperature, but it is the headache that is the worst thing  It just goes on and on and nothing makes it any less severe."
on testing ive been told i have fluctuating cognition in attention and a ace score of 63/100 could this be dementia,Jason123246,2022-08-11T12:54:29+0100,0,hi im currently being tested and been told i have fluctuating attention and alerness and i have a ace111 score of 63/100 i also have slight movement problems like parkinsonian symptoms slow movements unsready gait could this be a dementia
Not diagnosed just yet,Nonnajay,2022-08-04T10:24:55+0100,0,"Hello to all, (forgive me for this been long winded ) 

I am new to this forum but have been reading many of the posts. 

I am 48 years young and turned to my GP after a few years of not been myself . So he has been on this journey with me from the beggining and has seen the changes in me become worse over time. He believes I have Alzheimer’s and sent me to a neurologist who says I’m to young to have it and then had me do a test with another person in which he asked me questions and said things I had to remember and to drawl a clock which I have been able to do my whole life into he asked me. I burst into tears because I had forgotten how to do it. I didn’t remember barley any of the things he asked me to repeat and it was just not a good experience. (I don’t have the results from that as yet but I’m sure it wasn’t good ?) 

And then he sent me off for a mri a few months ago which came back clear except for the report said I have a basal ganglia calcification (I have no idea what that means) and it also said a possible iron disease. 

I haven’t spoken to him yet about that mri or the tests I had to do because I just keep forgetting to make that damn appointment to go back and see him. (My daughter is going to make the app for me tomorrow ❤️) 

So that’s the medical side . Now to about myself. 

Slowly I have gotten worse with everything not just my memory. I forget everything and I mean everything in minutes from what I just talked about to what day it is . I am always stopping in conversation because I cannot think of a word to use , I’m literally forgetting words ? and this makes me feel so degraded and so stupid and I don’t like been this way at a. Infact it’s not me, this is not who I was , I feel like someone else has entered my mind and is taking over and it’s the most scary feeling and the most devastating feeling . My young children (I have 8 children , four adult ones and four young ones ) but my children are constantly helping me with words , when I say the wrong things which is every time I talk. They shouldn’t have to be doing this for their mother . 

I say things that I completely don’t remember saying . I’m forgetting how to add numbers together and that’s something I was always very quick at doing , now I struggle if I can even do it . 

I can watch a tv show and by the next day it’s al forgotten and I’m latch it again and not remember a damn thing and my 12 year old will say mum we watched that last night together . 

I had to give up the course of my dreams that I waited to do till my youngest turned 9 and I had to give it up . I was starting to become a (omg I can’t remember  what it’s called ??, well a counselled but I don’t remember the name of it I’m sorry , and well I just want r able to remember the things I was reading and I wasn’t taking it all in like I should of been and I knew then something was REALLY wrong with me so I was so heart broken I waited 30 years and then didn’t get to become a counselled after all that time .

I’m losing myself , I’m forget isn’t what my grandchild names are and calling them other random names and they live with me ?

I’m feel more and more I’m been oh she’s to the background. While this imposter takes over my brain and is taking away my once amazing memory . And yet I am starting to remember things from my past way better then ever before . It’s just so strange . 

I don’t know if this sounds like Alzheimer’s but my doctor said he is pretty sure it’s early onset . But the neuro practically scoffed at the thought of it been that . But I know this ain’t me and I’m deteriorating slowly. It’s not MY mind anymore and I’m losing myself more and more . 

I’m sorry for the long rant if you got this far , but I feel so alone and no one understands how isolating this feels so I found you all in this forum. 

Does anyone know if any of this is a Alzheimer’s or dementia signs? Please be honest with me 


Love and light 
Nonnajay ?"
I have just been diagnosed and need help.,mc70,2022-06-18T06:21:32+0100,0,I have just been diagnosed with dementia within the last 2 days and I need help and information
Donepezil,Zygoma,2022-03-18T14:08:45+0000,0,"Time has passed by since my last post here. One week ago I was taken off Galantamine 16mg capsules following some very unpleasant side effects, severe bowel incontinence , dizzy spells and atrial fibrillation with angina. I have been advised the consultant want’s to try me on Donezepil?
Does anyone have any experience of this drug…….please advice and take care

Not sure if I have posted this in the right forum?"
Summer solstice = sundowners follows,Sherma77,2022-07-20T17:23:15+0100,0,"I forget, every year that about 3 weeks after the summer solstice sundowners will rear its ugly head. Last evening I identified it, for 2022. I knew I was getting a little ""off"" last week but IT hit me for real and has still been with me today and it is now noon!
Someone should warn those who care for ""us"" to put it down on next years calendar to prepare for the change that comes over us. Plus dark of the moon affects me instead of the full moon. 
I have Parkinson's Disease dementia, and it is far worse than the PD. And sundowners is the of  worst part it and every med that I have taken has worsen it - not helped.  Sorry I just had to rant today."
Early onset.,Prue,2022-06-15T10:13:30+0100,0,"I am 65 yrs old, and have recently been diagnosed with Alzheimer's after a lumber punch test.
 I feel quite isolated as I have lost all my self confidence, no longer being able to trust my memory. 
 Is anyone else still feeling they can drive confidently ?
 Does any one else feel ashamed of having Alzheimer's, it's not logical I know.
I am also frightened of the future...
I would love to hear your thoughts on the above."
I live with dementia,Lorinn,2022-06-22T23:53:05+0100,0,"Hello everyone, I just discovered this forum and wonder if it is appropriate for me to contribute. I have dementia, was diagnosed in 2011. Pretty sure it’s not Alzheimer’s because of the length of time. It has progressed slowly but surely. I would appreciate someone replying so I don’t blunder my way into the wrong place.?"
I have Generalized Cerebral Atrophy,gracy225,2022-06-12T21:14:24+0100,0,"Although technically I am not termed with dementia, it's merely a step away.  (per neuro).  I've a ridiculous amount of lesions on my brain and according to my Dr. there is no reversing nor stopping the atrophy.  Also, I have Primary Progressive MS.  This whole experience is quite overwhelming.  I was diagnosed in 2018;  I can feel myself (my brain I should say) slipping from time to time.  It's so scary.  One of the worse things about diseases of the brain is no one believes anything you say.  I don't know how I came about to this site.  I'm so glad I did though.  xgracy"
Can you help please?,Bakerst,2022-06-10T23:43:06+0100,0,"I hope I am not causing any offence by asking. 
OH, has alzheimer's,  has been saying his head feels funny and has to go for a lie down until he feels better. It is happening more often now.  This evening after his lie down, he said he felt 'weird' and had to put his head down on the table.  It has happened a couple of times but today he could explain a little.  He said he could feel lines going down his brain. 
Do any of you lovely people know anything about this feeling? Is it a symptom of alzheimer's? 
Thank you"
Platinum Jubilee Champion,Norrms,2022-06-04T09:46:20+0100,0,"Hiya, I am so very humbled to have received this and was unfortunately unable to go (please read below how I was one of 70 out of 3,000 nominated, who have been invited to the Palace)  because of my illness, but it doesn't take away how proud I am to receive this. Please remember there is a dedicated team behind me who work so hard behind the scenes and help me make everything we do happen, without them, none of what we do would be possible but the most credit has to go to my incredible wife Elaine without whom? i would not be here. I have known for a couple of weeks but wasn't allowed to tell anybody until Friday 3rd June 2022 at 7.30 pm as you will read

It would have been an honor to receive this personally From Camila and Prince Charles, but it's now ""In the Post "" as they say lol

Huge thank you to Lesley Strzalko from my birth town of Bolton  for kindly nominating me, so very kind

best wishes

Norrms





Congratulations, you are a Platinum Champion!  

Dear Norman

We are delighted to let you know that you are one of our 490 Platinum Champions! You have been nominated by someone due to your outstanding commitment to volunteering.


Together with our President, Her Royal Highness The Duchess of Cornwall, and in partnership with The Big Jubilee Lunch, the Platinum Champion Awards were launched by Royal Voluntary Service to celebrate extraordinary volunteers who go the extra mile to improve the lives of others. Proudly supported by our corporate partner M&G, the awards recognise volunteers from all corners of Britain and a range of causes.

The entry standard was incredibly high, and we received over 3,000 nominations. We think you are truly amazing. In addition to being a Platinum Champion, our expert panel of judges have chosen you as one of 70 Platinum Champions and we are delighted to offer you and a guest:​
Two seated tickets for the Platinum Party at the Palace in London on Saturday 4th June
Two tickets for the Eden Project’s Big Jubilee Lunch in London on Sunday 5th June.


Please RSVP to let us know whether you will or will not be able to attend as soon as possible and no later than Friday 20th May by clicking the button below. We have sent you a letter with the same details, please note you only need to RVSP once. We have also informed the person who nominated you.​


RSVP to the Platinum Party and Jubilee Lunch


Photo ID (preferably a Passport or driver’s licence) will be a requirement to attend.

As a Platinum Champion, you will receive a specially designed, official Platinum Champions pin and a signed certificate from The Duchess of Cornwall.


At the Jubilee Lunch you will receive your pin and certificate. If you cannot attend the event in London, Jubilee Lunches are happening all over the country, which can be viewed here. If you are unable to attend the Jubilee Lunch in London, we will send your pin and certificate via post.

Please note the news that you are a Platinum Champion is strictly confidential until 7.30pm on Friday 3rd June. For this reason, you must not share this news publicly, such as on social media, with the press or your charity.

After this date, you can then tell whoever you would like.​"
All you wanted to know but they dont tell you,Norrms,2022-05-30T08:58:03+0100,0,"These are the things YOU always wanted to know about dementia, but THEY were too AFRAID TO TELL YOU,
Norrms (Living With dementia myself)

Those with dementia MAY, and I have to STRESS, “MAY” show some of these symptoms

1. Confusion and repeated questions are very common, please remember they are not doing this to “WIND YOU UP” Every time they ask the question it is the very first time they have asked it, according to them.

2. Swearing and Anger, even though they may have never have sworn in their life, they have heard people swear many many times during their lifetime, they know the words and are very familiar with them, so don’t be so shocked, this may be a form of release because their inhibitions have changed.

3. Inhibitions, talking of which, some may start to walk around completely naked in front of others with no conscience whatsoever, they may also start to speak their mind and say exactly what they are thinking and feeling. They may be a lot sharper in tone, than usual, and lose their temper so quickly, all born out of frustration.

4. Violence, is a very tricky one but has to be spoken about, even the mildest mannered of people MAY lash out at loved ones and strangers at times, they may bite, scratch, nip punch, spit at you, kick out, or worse, please remember it’s not them, but the disease.

5. Incontinence, believe it or not SO MANY Drs etc DO NOT talk about this when giving a diagnosis, yes it does happen to all, but to those it does, it has a HUGE effect on everyday life. Always starts with small accidents, small damp patches etc and increases. Please remember the signal from the Bowel./ the bladder has been disrupted and cant tell the brain when they need to pee or poo. In all honesty, if they KNEW what was happening they would be MORTIFIED as would you, SO NO NEED TO CHASTISE AT ALL !!

6. Frustration, Imagine KNOWING you have this disease as in Lewy bodies and KNOWING there is no cure, no remedies, and the chance is, you will forget ALL that you hold dear but you can do absolutely NOTHING about it. ?? Wanting to scream and shout is a huge understatement and why it often happens for no apparent reason.

7. Speech, the loss of coherent speech is so familiar in some people with dementia, one of the most common is having a conversation with you that makes absolutely no sense whatsoever to you, but please remember, it does to them, and please also REMEMBER THIS, if you listen to them very carefully, sometimes, just sometimes you will hear the word “Thirsty” “Hungry” or “Painful ” repeated. This could help you understand a little more.

8. OUTBURSTS, A very important one, this can be caused by noise, or life, in general, being so busy around them, supermarkets shops etc, the volume of peoples voices is sometimes magnified a thousand times to people with dementia so its sounds absolutely deafening causing the person with dementia to shout SHUTUP !! Or worse !! Sometimes causing them to RUN out of the shop and try and escape to only they know where.

9. Wandering, The MOST important thing to remember is, that people with dementia never ever get lost!!! THEY know EXACTLY where they are going!! They just haven’t told you !!! They will often try all sorts of tricks to get out of the house, and please don’t be fooled into thinking because of their age or frailty they cant get far. NO ONE KNOWS where they get the strength from to walk such distances but they can, and please don’t forget they have bus passes and can use them. We had a lady from Torbay who was found in Scunthorpe thanks to her bus pass, never EVER underestimate those with dementia.

10. Hallucinations, Hallucinations are NOT DREAMS or NIGHT TERRORS lets get that out of the way first.
Hallucinations are usually connected with those who have Lewy Body, but people with Alzheimer’s and particularly vascular dementia because of lack of oxygen to the brain will, or may suffer from these (I will NOT apologise for using the word suffering because if anybody has them like i myself do believe me they are suffering!!) Day or night these can happen, it may, to you, like they are talking to themselves or wanting to chase people, in some cases they will kick and punch as if shadowboxing, you will not be able to see who they are doing this to? But believe me, it is so VERY REAL to them.

11. NIGHT TERRORS, Imagine your worst fear being played out right in front of your eyes, imagine the horror unfolding in front of you, piercing screams, grotesque faces, and being`s, clawing at you, biting you, then multiply this by 100,000! and you have a night terror. Also, imagine not being able to wake from this as it seems neverending.
Then imagine this happening every 30 mins of every night of every week? Hard I know but this is how bad it can get.

12. Feelings. This is a tough one, but I have seen with my very own eyes the hurt it brings when you may visit a loved one and they are holding hands, or have arms wrapped around a complete stranger in a care setting and don’t recognize you. You may well have been with this person a LIFETIME but please beware, this happens more regularly than some places care to admit.

13. Spatial awareness Is the person stumbling? Staggering like they are drunk for no apparent reason? Do the FALL “Upstairs” or downstairs? Banging their toes on doors, beds, etc? Are they missing the step down on the pavement, or more importantly walking into the road with no fear of oncoming Traffic?? This is because what you see they don’t, once again the signal from the eyes to the brain is distorted and wavey, this cause to see things very differently and miss the most important bits, very similar to having blind spots for all you drivers out there.

14. LOSS of APPETITE ?? or NOT ?? because of that signal (ONCE AGAIN) to the brain from the stomach and eyes not working properly some with Dementia may want to eat more as they have forgotten they have just had their meal. “What if they eat a lot? I hear you cry? “They must feel full I hear you say” but HOW can they feel full if the signals not working and they still feel starving ?? So you see, not their fault, they are not at fault at all because of this awful disease. Then there is the quandry of those not eating or drinking enough. this can be caused by many things but sometimes it really is just a case of putting water into a yellow cup or container, placing a small meal on a yellow plate instead of white, and doing the same with tea and coffee. People with dementia can sometimes see right through clear glasses and don’t see what's in front of them, we have proof this works on our other website.

15. Sundowning !!! And LAST but Certainly not LEAST? SUNDOWNING !! I would personally put this on the school curriculum if I had the chance !! Sundowning is easier to understand than you think, it does exactly what it says on the tin !! AS the sun goes down the person with dementia gets worse, becomes more confused, more agitated, and more frustrated, it really is as simple as that !! And what is, even more, simpler to help you and others including professionals, is to, QUITE SIMPLY change all their appointments with Drs, dentists, podiatrists, consultants, etc, to MORNING Appointments so the person with dementia is in a better place, it a lots easier on you to manage and the Drs etc don’t have a hard time treating then either, you see? It’s not that difficult, is it?





These are just 15 points of what you MAY come to expect after a diagnosis of dementia, WHY don’t they tell you this? and WHY has it taken so long to be told this? especially by a person who is LIVING with this disease ?? I have NO IDEA !!
But what I do hope is you all read this, share this, copy and paste this and print it out and put it in every Drs surgery in the UK /World for all to see, it’s not a state secret, and those who don’t want to know won’t read it"
Is there ever a right time ?,Norrms,2022-05-14T08:53:49+0100,0,"Is There Ever A Right Time With Dementia,


Over the last few weeks I have been saddened to read some blogs from carers across the world where they say things about a loved ones with dementia  like “Do they know they are lying ? “Are they doing it just to wind me up? And more worryingly “ my husband has just ordered this, or that, or taken money out of the bank, which made me think, when is the right time to step in and gain lasting power of attorney ? It’s a tough one isn’t it?


One example, extreme it may be, but a true one, of someone who didn’t, and it ended in her losing her house, her savings and her husband immigrating to Australia with the lot leaving her destitute!! How did that happen I hear you ask, but when we don’t step in these things can happen as he thought he had no illness at all, even though all around him quite clearly knew he had dementia and in his own mind he wasn’t married, and was going back to where he was born down under, but because nothing was put in place by the time he had signed all the relevant documents it was to late. Sadly a true story and so sad to say the gent passed away shortly after in Australia leaving no will. As you will see at the beginning of this I mentioned “Lasting Power Of Attorney and not Power of Attorney, a huge difference and I would always advise the lasting power of attorney, please look it up.


When I was first diagnosed I sat with my family and explained all, best thing I ever did, and then one night my wife and I sat and chatted about the future and we just knew we had to put our house in order as they say. So our “WILL” was checked and any adjustments necessary was made including where I was to be buried in case I started to say I wanted to back up north where I was born. Then it came to lasting power of attorney. Personally I had no problem letting my wife take over looking after things as she had more or less been doing that for years, but in a strange way this secured our future, and yes it’s a matter of trust, but in my humble opinion if you don’t have trust then why are you married?? 
We still do the same things, spend the same money etc. and nothing feels as if it has changed, but my point being is,  if I started to change, revert to my single days before I met Elaine then it could have had disastrous results.

 Lasting Power of Attorney is a safeguard; you have to make sure that as many obstacles that could be in your way are removed, it’s hard enough trying to negotiate the path of the dementia illness without added pressure.


Of course this really all boils down to one thing, and that is early diagnosis, as early as possible, so then whilst not being badly cognitively impaired at the beginning you cans rest assured that you have most things covered.


Norrms Diagnosed with dementia and 
Founder of Purple Angel dementia campaign"
New development,Dunroamin,2022-05-04T09:38:00+0100,0,"It is intermittant at the moment but becoming more of a problem.  My voice is diminishing and at times I can hardly verbalise.  My throat feels 'tight' but not constricted - if that makes sense.

I am interested if those carers for PWD who are now aphasic recognise this as the start of non-verbalisation?"
Concerned,MrsTiggywinkle,2021-11-14T22:30:26+0000,0,"Hello everyone,
I thought I would join this forum and introduce myself.   I do not have a diagnosis but I wanted to ask if any of the follo, Hwing experiences sound familiar.

Today I had trouble using a tin opener and was trying to catch the rim of the can between the little wheels but it wasn't working. My daughter and husband were there and my daughter said she would do it. I had forgotten that the type of can opener it is works by putting it flat on the top of the tin. We have had this can opener for years. Of course so many tins have a ring pull now, I hadn't used it for a while. 

Recently I have had a couple of occasions when I have not realised where I was, or how to get out of a car park I had been in several times before. Both times my passenger at the time wondered what the matter was (one or other of my adult children). I said it was because it was dark. 

It is very common for me to forget words, or the names of family members. There is a short silence while I think of it. Another thing that happens all the time is that my husband or one of my daughters tells me that they have told me something before and I really have no recollection. Also I mentioned Stephen Hawking in a conversation recently and my daughter said 'Mum he died several years ago'. Really? 

About 3 years ago I went to the doctor about word finding difficulties and also misspelling words which is very unusual for me. Also saying the wrong word. I had an MRI which was normal and an appointment with a neurologist where he asked me to say as many words beginning with P and other things like that He said my results were average.

I have had a lot of stress in my life for some years now and someone told me that the problem with words and language may be down to that. I don't misspell things as much as I used to but I have had these other problems. Stalling the car on a roundabout several times is another thing I have done. Also falling upstairs! 

I am sorry this is so long. I suppose I should go back to the doctor but I am thinking I'd rather see if things get worse. 

Thank you for reading"
New to this community. Thank you.,DK2022,2022-05-02T14:02:14+0100,0,I applaud everyone's contributions here.
Memory Problems/Risperidone..,deedee26,2022-04-29T17:33:42+0100,0,"How do you help an elderly relative with a fading memory? My 81-year-old mum has been on Risperidone for nearly 5 years.  She has a monthly visit from a psychiatric nurse. Recently mum came out of hospital, a community nurse came to visit mum and phoned me to ask if mum had problems with her memory. I replied yes. The psychiatric nurse has not noticed this, and even though I've mentioned it, nothing happens. I have mentioned that maybe the long term use of Risperidone is not helping mum. I am told mum is on this medication for life. The problem is she never gets her medication reviewed. Whoever I speak to, will not give me an answer. I realise that health services are overstretched. Just wondering has anybody else had problems with Risperidone."
I have Alzheimer's .,Prue,2022-04-29T12:00:19+0100,0,"I have just been told yesterday that I have quite advanced  Alzheimer's after a lumber punch procedure at my local hospital. If I am lucky I could live another five to  ten years... I am just 65 yrs old.  I knew I have a problem ie confusion and forgetfulness but I am shocked  by the early death diagnosis. I had asked to be assessed by the NHS memory clinic two year ago as my husband and I believed that something had changed and I had a memory problem, the memory clinic did a face to face question and answer type assessment and  told us my memory was in  a normal range, and there was nothing to worry about, memory naturally declines as you get older.
 I was assessed ( a paper question and answer form and a short interview by two specialist nurses .After their assessment I was told I have a very slight cognitive impairment which was normal at my age.
Both me and my husband  and eventually my GP believed it was more than that. My GP eventually referred me to the to  hospital to see a specialist . He listened  carefully to us and organised a urgent lumber punch ,which confirmed i did indeed have quite advanced Alzheimer's.
If I had been  diagnosed earlier could  they have slowed down the Alzheimer's in any way or would it have made no difference ?
I would be interested to year your responses, thank you."
